Id Marker X Y
0 1 0 0
1 2 1 0
2 3 1 1
3 4 0 1
4 0 0.5 0.5
5 8 0 0.5
6 5 0.5 0
7 6 1 0.5
8 7 0.5 1
9 0 0.75 0.25
10 0 0.25 0.75
11 0 0.75 0.75
12 0 0.5 0.25
13 5 0.75 0
14 6 1 0.25
15 0 0.875 0.375
16 0 0.875 0.125
17 0 0.875 0.25
18 6 1 0.375
19 0 0.8125 0.5625
20 0 0.75 0.125
21 0 0.625 0.1875
22 0 0.515625 0.125
23 5 0.25 0
24 5 0.625 0
25 5 0.375 0
26 0 0.65625 0.09375
27 0 0.3125 0.1875
28 0 0.3125 0.0833333
29 0 0.407652 0.135417
30 8 0 0.25
31 0 0.15625 0.135417
32 0 0.178385 0.329427
33 5 0.125 0
34 0 0.212436 0.227274
35 0 0.107326 0.248989
36 5 0.875 0
37 6 1 0.125
38 0 0.890625 0.484375
39 6 1 0.75
40 0 0.640625 0.609375
41 0 0.703125 0.421875
42 0 0.613839 0.321429
43 0 0.705212 0.330115
44 0 0.590473 0.432104
45 0 0.654316 0.509772
46 0 0.476906 0.375
47 0 0.309581 0.470547
48 0 0.381582 0.292755
49 0 0.409936 0.452006
50 0 0.38629 0.604883
51 0 0.513084 0.628267
52 0 0.597176 0.756016
53 0 0.420698 0.773757
54 0 0.437551 0.682381
55 0 0.236887 0.601126
56 0 0.671433 0.69826
57 7 0.75 1
58 7 0.25 1
59 0 0.309911 0.669708
60 8 0 0.75
61 0 0.163542 0.474771
62 0 0.234709 0.408609
63 8 0 0.625
64 8 0 0.375
65 0 0.0933588 0.5625
66 0 0.100088 0.394861
67 0 0.137379 0.684906
68 0 0.67839 0.875
69 7 0.625 1
70 0 0.54709 0.877411
71 7 0.375 1
72 0 0.511638 0.791754
73 0 0.320137 0.871181
74 0 0.433256 0.88733
75 8 0 0.125
76 0 0.0813802 0.0813802
77 6 1 0.625
78 0 0.875 0.6875
79 0 0.875 0.875
80 0 0.84375 0.78125
81 0 0.776695 0.901695
82 6 1 0.875
83 7 0.875 1
84 0 0.125 0.875
85 0 0.222059 0.847059
86 0 0.0972568 0.777743
87 7 0.125 1
88 8 0 0.875
89 0 0.347935 0.537715
90 0 0.78125 0.65625
91 0 0.796875 0.453125
92 0 0.90625 0.59375
93 0 0.279983 0.311091
94 0 0.335349 0.761878
95 0 0.273234 0.535837
96 0 0.311588 0.603004
97 0 0.673588 0.753008
98 0 0.55513 0.692141
99 0 0.512361 0.71001
100 0 0.345581 0.381651
101 0 0.394617 0.214086
102 0 0.0686893 0.717453
103 0 0.453826 0.0677083
104 0 0.203125 0.0677083
105 0 0.234375 0.109375
106 0 0.741967 0.63038
107 0 0.8125 0.71875
108 0 0.570312 0.554688
109 0 0.726562 0.585938
110 0 0.691296 0.619878
111 0 0.586045 0.938706
112 0 0.285069 0.935591
113 0 0.23603 0.92353
114 0 0.1875 0.9375
115 0 0.5625 0.21875
116 0 0.443145 0.552441
117 0 0.398113 0.528444
118 0 0.328758 0.504131
119 0 0.243443 0.675563
120 0 0.545373 0.348214
121 0 0.165123 0.581813
122 0 0.637783 0.815508
123 0 0.789062 0.398438
124 0 0.714195 0.9375
125 0 0.9375 0.8125
126 0 0.8125 0.1875
127 0 0.9375 0.65625
128 0 0.851562 0.523438
129 0 0.882812 0.429688
130 0 0.790106 0.352557
131 0 0.747137 0.364276
132 0 0.9375 0.0625
133 0 0.8125 0.3125
134 0 0.9375 0.1875
135 0 0.0625 0.9375
136 0 0.9375 0.9375
137 0 0.6875 0.15625
138 0 0.570312 0.0625
139 0 0.9375 0.3125
140 0 0.0943529 0.165185
141 0 0.0536628 0.311994
142 0 0.0817711 0.487385
143 0 0.763348 0.825848
144 0 0.0686893 0.654953
