Id Marker Origin End
0 0 41 43
1 0 130 43
2 0 123 15
3 0 23 28
4 0 105 28
5 0 104 31
6 0 4 51
7 0 51 50
8 0 116 50
9 0 95 47
10 0 55 61
11 0 61 47
12 0 6 22
13 0 22 29
14 0 103 29
15 0 26 22
16 0 138 22
17 0 24 26
18 0 91 38
19 0 129 15
20 0 51 54
21 0 54 50
22 0 139 14
23 0 15 17
24 0 17 14
25 0 13 16
26 0 16 20
27 0 20 13
28 0 65 5
29 0 142 5
30 0 61 65
31 0 85 10
32 0 10 73
33 0 73 85
34 0 111 69
35 0 70 68
36 0 68 69
37 0 80 11
38 0 107 11
39 0 78 80
40 8 64 30
41 0 30 35
42 0 141 35
43 0 115 12
44 0 21 42
45 0 42 12
46 0 26 20
47 0 137 20
48 0 21 26
49 0 17 16
50 0 134 16
51 0 15 18
52 0 18 38
53 0 7 38
54 6 18 7
55 6 37 14
56 0 16 37
57 5 36 1
58 0 132 1
59 0 16 36
60 0 126 9
61 0 17 9
62 0 133 15
63 6 14 18
64 0 106 56
65 0 90 19
66 0 11 56
67 0 127 78
68 6 77 39
69 0 39 78
70 0 20 9
71 0 9 21
72 0 12 22
73 0 22 21
74 0 21 43
75 0 43 42
76 5 23 25
77 0 25 28
78 0 26 13
79 0 25 29
80 0 29 28
81 5 6 24
82 0 12 48
83 0 101 48
84 0 29 12
85 5 24 13
86 0 120 42
87 0 46 12
88 0 31 33
89 5 33 23
90 5 25 6
91 0 28 27
92 0 27 31
93 0 29 27
94 0 34 31
95 0 27 34
96 0 34 35
97 0 35 31
98 0 76 0
99 5 0 33
100 0 33 76
101 0 46 48
102 0 32 34
103 0 34 48
104 0 93 48
105 0 27 48
106 0 31 76
107 0 32 35
108 0 32 66
109 0 66 35
110 8 30 75
111 0 75 35
112 5 13 36
113 6 1 37
114 0 77 38
115 6 7 77
116 0 128 38
117 0 19 41
118 0 40 52
119 0 98 52
120 0 51 40
121 0 78 19
122 0 92 19
123 0 44 46
124 0 42 44
125 0 40 45
126 0 45 19
127 0 109 19
128 0 45 4
129 0 4 44
130 0 44 45
131 0 9 43
132 0 42 41
133 0 41 44
134 0 41 45
135 0 4 46
136 0 108 40
137 0 49 46
138 0 4 49
139 0 89 50
140 0 47 49
141 0 117 49
142 0 96 50
143 0 49 48
144 0 100 48
145 0 47 62
146 0 62 48
147 0 50 59
148 0 59 55
149 0 40 56
150 0 56 52
151 0 99 51
152 0 72 54
153 0 122 68
154 0 97 52
155 0 11 68
156 0 54 53
157 0 53 59
158 0 59 54
159 0 70 52
160 0 84 85
161 0 113 85
162 0 114 58
163 0 52 72
164 0 94 53
165 0 10 59
166 0 144 67
167 0 63 65
168 0 65 67
169 0 61 66
170 0 66 62
171 0 62 61
172 0 81 57
173 0 124 57
174 0 68 81
175 0 53 73
176 0 119 10
177 8 63 5
178 0 86 60
179 0 102 60
180 0 67 86
181 0 66 5
182 8 5 64
183 0 64 66
184 0 62 32
185 0 121 55
186 0 55 67
187 0 10 67
188 0 85 86
189 0 86 10
190 8 60 63
191 0 80 81
192 0 143 81
193 7 69 8
194 0 8 70
195 0 74 8
196 7 8 71
197 0 71 74
198 7 57 69
199 0 72 70
200 0 70 74
201 0 74 72
202 0 72 53
203 0 53 74
204 0 74 73
205 0 112 58
206 0 73 71
207 7 71 58
208 0 140 35
209 0 75 76
210 8 75 0
211 0 80 39
212 0 125 39
213 0 79 80
214 0 81 83
215 7 83 57
216 6 82 2
217 0 136 2
218 0 79 82
219 0 79 81
220 0 79 83
221 6 39 82
222 7 2 83
223 0 86 88
224 8 88 60
225 7 87 3
226 0 135 3
227 0 84 87
228 0 84 86
229 0 84 88
230 7 58 87
231 8 3 88
232 0 89 55
233 0 89 47
234 0 118 89
235 0 90 78
236 0 90 11
237 0 90 56
238 0 91 15
239 0 91 41
240 0 91 41
241 0 92 38
242 0 92 77
243 0 92 77
244 0 93 34
245 0 93 32
246 0 93 62
247 0 94 73
248 0 94 10
249 0 94 59
250 0 95 61
251 0 95 55
252 0 96 89
253 0 96 55
254 0 96 55
255 0 97 68
256 0 97 11
257 0 97 11
258 0 98 40
259 0 98 51
260 0 99 52
261 0 99 72
262 0 99 72
263 0 100 62
264 0 100 47
265 0 100 49
266 0 101 12
267 0 101 29
268 0 101 27
269 0 102 63
270 0 102 67
271 0 102 86
272 0 103 25
273 0 103 6
274 0 103 6
275 0 104 33
276 0 104 23
277 0 105 23
278 0 105 31
279 0 105 31
280 0 110 106
281 0 106 19
282 0 107 90
283 0 107 78
284 0 107 80
285 0 108 51
286 0 108 4
287 0 108 4
288 0 109 45
289 0 109 40
290 0 110 56
291 0 110 40
292 0 110 40
293 0 111 68
294 0 111 70
295 0 111 70
296 0 112 71
297 0 112 73
298 0 113 73
299 0 113 58
300 0 114 85
301 0 114 84
302 0 114 84
303 0 115 42
304 0 115 21
305 0 115 22
306 0 116 51
307 0 116 4
308 0 117 4
309 0 117 50
310 0 118 0
311 0 118 47
312 0 118 47
313 0 119 67
314 0 119 55
315 0 119 55
316 0 120 12
317 0 120 46
318 0 120 44
319 0 121 67
320 0 121 65
321 0 121 61
322 0 122 70
323 0 122 52
324 0 122 97
325 0 131 123
326 0 123 41
327 0 123 91
328 0 124 69
329 0 124 68
330 0 124 81
331 0 125 80
332 0 125 79
333 0 125 79
334 0 126 20
335 0 126 16
336 0 126 16
337 0 127 39
338 0 127 77
339 0 128 92
340 0 128 19
341 0 129 91
342 0 129 38
343 0 130 123
344 0 130 15
345 0 131 15
346 0 131 43
347 0 131 43
348 0 132 36
349 0 132 16
350 0 132 16
351 0 133 17
352 0 133 9
353 0 133 43
354 0 134 17
355 0 134 14
356 0 134 37
357 0 135 87
358 0 135 84
359 0 135 84
360 0 136 82
361 0 136 79
362 0 136 79
363 0 137 9
364 0 137 21
365 0 137 26
366 0 138 6
367 0 138 24
368 0 138 26
369 0 139 17
370 0 139 15
371 0 139 15
372 0 140 75
373 0 140 76
374 0 140 76
375 0 141 66
376 0 141 64
377 0 141 64
378 0 142 66
379 0 142 61
380 0 142 65
381 0 143 68
382 0 143 11
383 0 143 11
384 0 144 65
385 0 144 63
386 0 144 102
